bin.no;r.m;d.Gy;F1
291;3.245087e-07;5.754040e-02;9.320397e-04
292;3.135547e-07;6.167027e-02;8.701782e-04
293;3.029671e-07;6.609656e-02;8.124047e-04
294;2.927338e-07;7.084054e-02;7.584509e-04
295;2.828434e-07;7.592501e-02;7.080658e-04
296;2.732844e-07;8.137441e-02;6.610149e-04
297;2.640459e-07;8.721494e-02;6.170787e-04
298;2.551174e-07;9.347466e-02;5.760522e-04
299;2.464886e-07;1.001837e-01;5.377439e-04
300;2.381497e-07;1.073742e-01;5.019744e-04
301;2.300909e-07;1.150808e-01;4.685766e-04
302;2.223031e-07;1.233405e-01;4.373938e-04
303;2.147772e-07;1.321931e-01;4.082799e-04
304;2.075045e-07;1.416811e-01;3.810981e-04
305;2.004767e-07;1.518500e-01;3.557209e-04
306;1.936855e-07;1.627488e-01;3.320290e-04
307;1.871232e-07;1.744299e-01;3.099109e-04
308;1.807820e-07;1.869493e-01;2.892624e-04
309;1.746546e-07;2.003673e-01;2.699863e-04
310;1.687338e-07;2.147484e-01;2.519915e-04
311;1.630130e-07;2.301616e-01;2.351939e-04
312;1.574850e-07;2.466811e-01;2.195130e-04
313;1.521438e-07;2.643863e-01;2.048755e-04
314;1.469829e-07;2.833622e-01;1.912121e-04
315;1.419964e-07;3.037001e-01;1.784581e-04
316;1.371784e-07;3.254977e-01;1.665532e-04
317;1.325232e-07;3.488598e-01;1.554410e-04
318;1.280254e-07;3.738986e-01;1.450688e-04
319;1.236798e-07;4.007346e-01;1.353876e-04
320;1.194811e-07;4.294967e-01;1.263514e-04
321;1.154245e-07;4.603232e-01;1.179173e-04
322;1.115052e-07;4.933622e-01;1.100453e-04
323;1.077185e-07;5.287725e-01;1.026981e-04
324;1.040601e-07;5.667243e-01;9.584070e-05
325;1.005255e-07;6.074001e-01;8.944055e-05
326;9.711071e-08;6.509953e-01;8.346721e-05
327;9.381158e-08;6.977195e-01;7.789229e-05
328;9.062423e-08;7.477972e-01;7.268927e-05
329;8.754491e-08;8.014692e-01;6.783337e-05
330;8.456993e-08;8.589935e-01;6.330143e-05
331;8.169591e-08;9.206464e-01;5.907207e-05
332;7.891925e-08;9.867244e-01;5.512486e-05
333;7.623678e-08;1.057545e+00;5.144116e-05
334;7.364530e-08;1.133449e+00;4.800337e-05
335;7.114173e-08;1.214800e+00;4.479510e-05
336;6.872310e-08;1.301991e+00;4.180105e-05
337;6.638655e-08;1.395439e+00;3.900693e-05
338;6.412929e-08;1.495594e+00;3.639942e-05
339;6.194864e-08;1.602938e+00;3.396606e-05
340;5.984202e-08;1.717987e+00;3.169525e-05
341;5.780692e-08;1.841293e+00;2.957613e-05
342;5.584092e-08;1.973449e+00;2.759858e-05
343;5.394168e-08;2.115090e+00;2.575316e-05
344;5.210694e-08;2.266897e+00;2.403105e-05
345;5.033452e-08;2.429600e+00;2.242402e-05
346;5.000000e-08;2.603981e+00;2.212695e-05
347;5.000000e-08;2.790878e+00;2.212695e-05
348;5.000000e-08;2.991189e+00;2.212695e-05
349;5.000000e-08;3.205877e+00;2.212695e-05
350;5.000000e-08;3.435974e+00;2.212695e-05
351;5.000000e-08;3.682586e+00;2.212695e-05
352;5.000000e-08;3.946898e+00;2.212695e-05
353;5.000000e-08;4.230180e+00;2.212695e-05
354;5.000000e-08;4.533795e+00;2.212695e-05
355;5.000000e-08;4.859201e+00;2.212695e-05
356;5.000000e-08;5.207963e+00;2.212695e-05
357;5.000000e-08;5.581756e+00;2.212695e-05
358;5.000000e-08;5.982378e+00;2.212695e-05
359;5.000000e-08;6.411754e+00;2.212695e-05
360;5.000000e-08;6.871948e+00;2.212695e-05
361;5.000000e-08;7.365171e+00;2.212695e-05
362;5.000000e-08;7.893795e+00;2.212695e-05
363;5.000000e-08;8.460360e+00;2.212695e-05
364;5.000000e-08;9.067589e+00;2.212695e-05
365;5.000000e-08;9.718402e+00;2.212695e-05
366;5.000000e-08;1.041593e+01;2.212695e-05
367;5.000000e-08;1.116351e+01;2.212695e-05
368;5.000000e-08;1.196476e+01;2.212695e-05
369;5.000000e-08;1.282351e+01;2.212695e-05
370;5.000000e-08;1.374390e+01;2.212695e-05
371;5.000000e-08;1.473034e+01;2.212695e-05
372;5.000000e-08;1.578759e+01;2.212695e-05
373;5.000000e-08;1.692072e+01;2.212695e-05
374;5.000000e-08;1.813518e+01;2.212695e-05
375;5.000000e-08;1.943680e+01;2.212695e-05
376;5.000000e-08;2.083185e+01;2.212695e-05
377;5.000000e-08;2.232702e+01;2.212695e-05
378;5.000000e-08;2.392951e+01;2.212695e-05
379;5.000000e-08;2.564702e+01;2.212695e-05
380;5.000000e-08;2.748779e+01;2.212695e-05
381;5.000000e-08;2.946069e+01;2.212695e-05
382;5.000000e-08;3.157518e+01;2.212695e-05
383;5.000000e-08;3.384144e+01;2.212695e-05
384;5.000000e-08;3.627036e+01;2.212695e-05
385;5.000000e-08;3.887361e+01;2.212695e-05
386;5.000000e-08;4.166370e+01;2.212695e-05
387;5.000000e-08;4.465405e+01;2.212695e-05
388;5.000000e-08;4.785902e+01;2.212695e-05
389;5.000000e-08;5.129403e+01;2.212695e-05
390;0.000000e+00;5.497558e+01;0.000000e+00
